               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.033081,           0.0095258,           0.0047465,              0.7787,              0.3022,             0.41399,             0.22851,            0.042683,           0.0063918,           0.0097967,            0.008086,            0.008086,            0.008086
                  60,            0.030616,             0.01023,           0.0084821,             0.91443,             0.22527,             0.36333,             0.17298,            0.040607,            0.007689,           0.0086678,            0.008053,            0.008053,            0.008053
                  61,            0.032025,            0.010106,           0.0070045,             0.45922,             0.45055,             0.41894,             0.24151,            0.034928,           0.0066338,           0.0080072,             0.00802,             0.00802,             0.00802
                  62,            0.030395,            0.010291,           0.0047295,             0.63318,             0.43237,             0.47254,             0.29872,            0.035455,           0.0061505,           0.0068563,            0.007987,            0.007987,            0.007987
                  63,            0.029702,           0.0094321,           0.0063318,             0.77912,              0.5021,             0.48201,             0.22386,            0.045126,           0.0069811,            0.007752,            0.007954,            0.007954,            0.007954
                  64,            0.033336,           0.0093032,           0.0049317,             0.53132,             0.50916,             0.44227,             0.26155,            0.039913,            0.007349,           0.0094418,            0.007921,            0.007921,            0.007921
                  65,            0.034115,            0.010267,           0.0057811,             0.66598,             0.45055,             0.51355,             0.27217,            0.040546,           0.0063155,           0.0096138,            0.007888,            0.007888,            0.007888
                  66,            0.032363,           0.0095519,           0.0061576,             0.93306,             0.48901,             0.56091,              0.3431,            0.037606,           0.0066807,           0.0087082,            0.007855,            0.007855,            0.007855
                  67,            0.033992,           0.0094781,           0.0053741,             0.93518,             0.48901,              0.5202,             0.33988,            0.037332,           0.0071044,           0.0092739,            0.007822,            0.007822,            0.007822
                  68,            0.032087,           0.0093538,           0.0051555,             0.91705,             0.51785,             0.56859,             0.34291,            0.029568,           0.0073154,           0.0058688,            0.007789,            0.007789,            0.007789
                  69,            0.031791,            0.010471,           0.0045947,             0.80383,             0.37912,             0.50303,             0.29537,             0.03999,           0.0077953,           0.0065976,            0.007756,            0.007756,            0.007756
                  70,            0.031945,            0.011115,            0.008276,             0.50427,             0.42963,             0.47046,             0.23904,            0.039312,           0.0083382,           0.0067085,            0.007723,            0.007723,            0.007723
                  71,            0.030523,           0.0090053,           0.0052011,             0.66462,             0.43956,             0.50535,             0.24164,            0.034485,            0.008544,            0.025726,             0.00769,             0.00769,             0.00769
                  72,            0.028411,            0.011205,           0.0053129,             0.61623,             0.32261,             0.32143,             0.15191,            0.032515,           0.0093029,            0.045587,            0.007657,            0.007657,            0.007657
                  73,            0.030196,            0.010696,           0.0048349,             0.63542,             0.54816,              0.5637,             0.31839,            0.033609,           0.0077569,           0.0046791,            0.007624,            0.007624,            0.007624
                  74,            0.029328,           0.0098404,           0.0051486,              0.7609,             0.53562,             0.62341,             0.32843,             0.03605,            0.006222,           0.0064735,            0.007591,            0.007591,            0.007591
                  75,            0.028312,            0.010115,           0.0058249,             0.83017,             0.49846,             0.65156,             0.39899,            0.030153,           0.0062242,           0.0036446,            0.007558,            0.007558,            0.007558
                  76,            0.030421,           0.0095014,           0.0049585,             0.63823,             0.58716,             0.63045,             0.39978,             0.03019,           0.0065122,            0.003252,            0.007525,            0.007525,            0.007525
                  77,            0.028331,           0.0088031,           0.0043058,             0.73382,              0.5906,             0.63571,             0.38957,             0.03304,           0.0066149,           0.0015269,            0.007492,            0.007492,            0.007492
                  78,            0.028523,           0.0098083,           0.0030772,             0.73321,             0.51474,             0.61693,             0.38121,             0.03195,           0.0061195,           0.0029353,            0.007459,            0.007459,            0.007459
                  79,            0.028799,           0.0086537,           0.0036557,              0.9496,             0.56044,             0.65701,             0.40122,             0.03386,           0.0066705,           0.0036328,            0.007426,            0.007426,            0.007426
                  80,            0.029185,           0.0091224,           0.0038947,             0.83522,             0.55371,             0.67105,             0.38847,            0.036929,           0.0060248,           0.0042351,            0.007393,            0.007393,            0.007393
                  81,            0.028631,           0.0091343,           0.0027552,             0.86628,             0.60806,             0.66388,             0.38422,            0.034844,           0.0066149,           0.0068066,             0.00736,             0.00736,             0.00736
                  82,            0.028399,           0.0090013,           0.0030377,             0.84148,             0.59831,              0.6333,             0.37404,            0.032553,           0.0065718,            0.011614,            0.007327,            0.007327,            0.007327
                  83,            0.029405,           0.0088621,           0.0044963,             0.95667,             0.54658,             0.60317,              0.3772,            0.031787,           0.0072005,           0.0077785,            0.007294,            0.007294,            0.007294
                  84,            0.026916,           0.0097828,           0.0042693,             0.69079,              0.5989,             0.66154,             0.41396,            0.030926,            0.006299,           0.0099078,            0.007261,            0.007261,            0.007261
                  85,             0.02901,            0.008863,           0.0026483,             0.88673,             0.56593,             0.66799,             0.39164,            0.031826,           0.0070384,           0.0074828,            0.007228,            0.007228,            0.007228
                  86,            0.028329,           0.0096047,           0.0056568,             0.90937,             0.52106,             0.71056,             0.39337,            0.032314,           0.0067399,           0.0054148,            0.007195,            0.007195,            0.007195
                  87,            0.027049,            0.008755,           0.0038322,             0.90587,             0.62948,             0.74032,             0.39611,            0.033288,           0.0065179,           0.0063322,            0.007162,            0.007162,            0.007162
                  88,            0.029875,           0.0093721,           0.0038177,             0.89987,             0.60617,             0.68444,             0.35598,             0.03324,           0.0069413,           0.0083214,            0.007129,            0.007129,            0.007129
                  89,            0.028028,            0.010711,           0.0051737,             0.61596,             0.48901,              0.5062,             0.25648,            0.035238,           0.0067935,            0.010934,            0.007096,            0.007096,            0.007096
                  90,             0.02822,           0.0087638,           0.0037875,             0.56262,             0.43045,             0.46699,             0.25414,            0.033974,           0.0065291,           0.0081005,            0.007063,            0.007063,            0.007063
                  91,            0.028618,           0.0088307,           0.0028379,              0.5496,              0.5996,             0.53914,             0.26063,            0.036999,           0.0065377,            0.005462,             0.00703,             0.00703,             0.00703
                  92,            0.027931,           0.0088612,           0.0045189,             0.52657,             0.65512,             0.59667,             0.33305,            0.034545,            0.005739,           0.0058792,            0.006997,            0.006997,            0.006997
                  93,            0.026685,           0.0088079,            0.003672,             0.57419,             0.48901,             0.58207,             0.32734,            0.035101,           0.0060401,           0.0061392,            0.006964,            0.006964,            0.006964
                  94,            0.026811,           0.0081216,           0.0038489,             0.56852,             0.67033,             0.59483,             0.34603,            0.034064,           0.0063889,           0.0031612,            0.006931,            0.006931,            0.006931
                  95,             0.02892,           0.0084592,           0.0033767,             0.69749,             0.61544,             0.67808,             0.37669,            0.031438,           0.0060375,           0.0052267,            0.006898,            0.006898,            0.006898
                  96,            0.028952,           0.0086569,           0.0048181,             0.80563,             0.70879,             0.75315,             0.43991,            0.028346,           0.0062504,           0.0041401,            0.006865,            0.006865,            0.006865
                  97,            0.027734,           0.0092405,           0.0033296,             0.66013,             0.78022,             0.77038,             0.48723,            0.028707,           0.0055001,           0.0033048,            0.006832,            0.006832,            0.006832
                  98,            0.028951,           0.0089842,           0.0037284,             0.67529,             0.75701,             0.69472,             0.43535,            0.029991,           0.0053842,            0.004792,            0.006799,            0.006799,            0.006799
