               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.032015,             0.01066,           0.0062464,             0.41713,             0.67033,               0.495,             0.30151,            0.036031,           0.0084929,           0.0050022,            0.008812,            0.008812,            0.008812
                  62,            0.031782,            0.010342,           0.0057972,             0.84474,             0.40179,             0.57898,             0.29291,            0.036888,           0.0078974,           0.0076706,           0.0087922,           0.0087922,           0.0087922
                  63,            0.031473,            0.010087,           0.0060128,             0.79938,             0.38541,              0.4715,             0.21074,             0.03452,           0.0086379,            0.012544,           0.0087724,           0.0087724,           0.0087724
                  64,            0.032153,            0.009649,            0.004485,             0.53939,             0.48757,             0.49836,             0.27672,             0.03478,           0.0068624,            0.013102,           0.0087526,           0.0087526,           0.0087526
                  65,            0.032386,            0.010482,           0.0044697,             0.70756,             0.48901,             0.47804,             0.22132,            0.045178,           0.0066156,            0.014233,           0.0087328,           0.0087328,           0.0087328
                  66,            0.035991,            0.010453,           0.0056473,             0.61905,             0.67582,             0.63942,             0.27946,            0.039255,           0.0060015,           0.0070969,            0.008713,            0.008713,            0.008713
                  67,            0.033157,            0.010511,           0.0068074,             0.66936,             0.48273,             0.54179,             0.29621,            0.042869,           0.0066659,           0.0069304,           0.0086932,           0.0086932,           0.0086932
                  68,            0.032699,           0.0094363,           0.0059935,             0.78931,             0.48901,             0.55883,              0.3171,            0.037449,           0.0056546,            0.011528,           0.0086734,           0.0086734,           0.0086734
                  69,            0.033053,            0.011258,           0.0056192,              0.6526,              0.6159,             0.56288,             0.27012,            0.038004,           0.0073433,            0.010978,           0.0086536,           0.0086536,           0.0086536
                  70,            0.033303,            0.010621,           0.0051206,             0.61882,             0.44505,             0.45654,             0.22218,            0.042288,           0.0068691,           0.0083176,           0.0086338,           0.0086338,           0.0086338
                  71,            0.030865,            0.009738,           0.0080621,             0.69276,             0.60562,             0.66269,             0.32509,            0.033811,            0.006742,           0.0061797,            0.008614,            0.008614,            0.008614
                  72,            0.031696,            0.011472,           0.0066559,             0.34027,             0.36813,             0.31567,             0.13387,            0.039855,           0.0081558,           0.0033203,           0.0085942,           0.0085942,           0.0085942
                  73,            0.033773,              0.0113,           0.0056132,             0.60591,             0.24856,              0.2985,             0.13229,             0.03968,           0.0092793,            0.033588,           0.0085744,           0.0085744,           0.0085744
                  74,            0.031961,            0.010903,           0.0072326,             0.54758,             0.37363,             0.43401,             0.21346,            0.044792,           0.0078795,           0.0071152,           0.0085546,           0.0085546,           0.0085546
