               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,             0.03053,             0.01231,           0.0028165,             0.88435,             0.91096,             0.95582,             0.63269,            0.028118,           0.0041149,          0.00087891,            0.008119,            0.008119,            0.008119
                  59,            0.030487,            0.012249,           0.0040474,              0.8771,             0.89465,              0.9342,             0.59817,            0.025948,           0.0042512,           0.0014849,            0.008086,            0.008086,            0.008086
                  60,            0.029148,            0.011955,           0.0035595,             0.84637,             0.90076,             0.92039,             0.54263,            0.025932,           0.0046735,           0.0020168,            0.008053,            0.008053,            0.008053
                  61,            0.029988,            0.012112,           0.0038462,              0.9123,             0.91793,             0.95308,             0.57192,            0.027561,           0.0040712,          0.00085773,             0.00802,             0.00802,             0.00802
                  62,            0.029699,            0.012179,           0.0037819,             0.88325,             0.93998,             0.93754,             0.54825,            0.029148,           0.0046849,            0.001008,            0.007987,            0.007987,            0.007987
                  63,            0.029819,            0.012354,           0.0028754,             0.90811,             0.89471,             0.94247,             0.59551,            0.025819,           0.0044222,           0.0016754,            0.007954,            0.007954,            0.007954
                  64,            0.029535,            0.011875,           0.0032342,             0.95066,             0.90116,             0.95769,             0.58981,            0.028032,           0.0042615,           0.0010744,            0.007921,            0.007921,            0.007921
                  65,            0.029155,            0.012135,           0.0030375,             0.93976,             0.96979,             0.98301,             0.63157,            0.024215,           0.0041647,          0.00094008,            0.007888,            0.007888,            0.007888
                  66,            0.029647,            0.012287,           0.0037763,             0.94041,             0.91096,             0.96656,             0.60245,            0.025022,           0.0041773,           0.0012117,            0.007855,            0.007855,            0.007855
                  67,            0.029912,            0.011974,           0.0029062,              0.9146,             0.91997,             0.95574,             0.61202,            0.027166,           0.0041776,          0.00070782,            0.007822,            0.007822,            0.007822
                  68,             0.03017,            0.011922,           0.0024138,             0.91297,             0.95998,             0.96746,             0.59616,            0.026087,           0.0046434,          0.00082374,            0.007789,            0.007789,            0.007789
                  69,            0.029179,            0.011643,           0.0026626,             0.90588,              0.9374,             0.95231,             0.62491,            0.024703,           0.0041547,           0.0010693,            0.007756,            0.007756,            0.007756
                  70,            0.028252,            0.011475,           0.0028061,             0.93164,             0.93867,             0.97564,             0.62811,            0.023729,           0.0041838,           0.0011961,            0.007723,            0.007723,            0.007723
                  71,            0.028819,             0.01157,           0.0028534,             0.95202,             0.94706,               0.969,             0.61659,            0.025725,           0.0038977,           0.0016918,             0.00769,             0.00769,             0.00769
                  72,            0.027844,            0.011372,           0.0030307,             0.93898,             0.90076,             0.95711,              0.5969,            0.026523,           0.0039818,           0.0019036,            0.007657,            0.007657,            0.007657
                  73,             0.02891,            0.012086,           0.0028412,             0.89761,             0.94938,             0.96027,             0.63606,            0.022628,           0.0042033,           0.0012682,            0.007624,            0.007624,            0.007624
                  74,            0.027541,            0.011378,            0.002245,             0.95258,             0.92652,             0.96864,             0.64711,            0.021464,           0.0043194,           0.0017022,            0.007591,            0.007591,            0.007591
