               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.046226,            0.016679,            0.011046,             0.40785,             0.56593,             0.47211,             0.24591,            0.044483,           0.0074523,            0.008992,            0.008383,            0.008383,            0.008383
                  51,            0.041888,             0.01806,            0.014379,             0.40231,             0.49184,             0.44047,             0.19596,            0.043312,           0.0071042,            0.007888,             0.00835,             0.00835,             0.00835
                  52,            0.047699,            0.015316,            0.012117,             0.42157,             0.52747,             0.47353,             0.24674,            0.042702,           0.0072362,           0.0087776,            0.008317,            0.008317,            0.008317
                  53,            0.044482,            0.014967,           0.0098391,             0.49294,             0.49451,             0.53816,             0.22604,             0.03976,           0.0074343,            0.010315,            0.008284,            0.008284,            0.008284
                  54,            0.039746,            0.014351,            0.014451,             0.54765,             0.39748,             0.49913,             0.29233,            0.036358,           0.0077926,             0.01036,            0.008251,            0.008251,            0.008251
                  55,            0.043397,            0.016846,            0.014212,             0.48147,             0.41758,             0.50438,             0.26565,            0.036943,            0.008087,            0.016455,            0.008218,            0.008218,            0.008218
                  56,            0.040632,            0.014188,            0.016352,             0.55207,             0.41758,             0.50208,             0.22554,            0.036612,           0.0080386,             0.02228,            0.008185,            0.008185,            0.008185
                  57,             0.03874,            0.016295,            0.013185,             0.49672,             0.41758,             0.50607,              0.2257,            0.035737,           0.0079159,            0.020161,            0.008152,            0.008152,            0.008152
                  58,            0.038176,            0.013626,            0.013122,             0.55763,             0.48218,             0.54606,             0.28007,            0.037928,           0.0075256,            0.013063,            0.008119,            0.008119,            0.008119
                  59,            0.045287,            0.014567,            0.014402,             0.54535,             0.59834,             0.53013,             0.20661,            0.046089,           0.0072955,            0.012128,            0.008086,            0.008086,            0.008086
                  60,            0.043679,            0.014241,            0.011334,             0.56775,             0.40447,             0.45106,             0.21596,            0.042649,           0.0078391,            0.012053,            0.008053,            0.008053,            0.008053
                  61,            0.046134,            0.012209,             0.01414,             0.56591,             0.40712,              0.4129,             0.20167,            0.042556,           0.0075488,            0.013709,             0.00802,             0.00802,             0.00802
                  62,             0.03927,            0.014333,           0.0082516,             0.55031,             0.41758,             0.47631,             0.24157,            0.040561,           0.0072942,            0.014647,            0.007987,            0.007987,            0.007987
                  63,            0.040182,            0.016547,            0.010622,             0.30224,             0.45604,             0.38732,             0.18789,            0.041795,           0.0069347,            0.014449,            0.007954,            0.007954,            0.007954
                  64,            0.039562,            0.014076,             0.01197,             0.26421,             0.49451,             0.39532,             0.18224,            0.041173,           0.0067725,            0.015496,            0.007921,            0.007921,            0.007921
                  65,            0.041354,            0.015349,              0.0146,             0.30591,             0.56593,             0.39551,             0.18758,            0.041581,           0.0069385,            0.017313,            0.007888,            0.007888,            0.007888
                  66,            0.046226,            0.014208,              0.0123,             0.84129,             0.33155,              0.3877,             0.18691,            0.043624,           0.0066896,            0.018441,            0.007855,            0.007855,            0.007855
                  67,            0.039152,            0.014345,           0.0093029,             0.43222,             0.49451,             0.44095,             0.19098,             0.04384,           0.0068419,            0.019718,            0.007822,            0.007822,            0.007822
                  68,            0.046021,            0.013117,            0.008064,             0.82073,              0.5441,             0.54613,              0.2297,            0.044249,           0.0074082,            0.018542,            0.007789,            0.007789,            0.007789
                  69,            0.046936,            0.013145,            0.010781,             0.35382,             0.56593,             0.43326,             0.20928,            0.042429,           0.0074798,            0.015848,            0.007756,            0.007756,            0.007756
                  70,            0.041135,            0.012582,           0.0093564,             0.87314,             0.47801,              0.6117,             0.26744,            0.042695,           0.0075348,            0.012206,            0.007723,            0.007723,            0.007723
                  71,            0.036485,            0.013685,           0.0057199,             0.91232,             0.55586,             0.64637,             0.25505,            0.040463,           0.0075185,            0.010055,             0.00769,             0.00769,             0.00769
                  72,            0.038366,            0.013881,           0.0065527,             0.89654,             0.56044,             0.65345,             0.29636,            0.039062,           0.0072164,           0.0078391,            0.007657,            0.007657,            0.007657
                  73,            0.042246,            0.013513,           0.0088531,             0.76971,             0.63187,             0.69795,             0.31186,            0.039506,           0.0068939,           0.0074318,            0.007624,            0.007624,            0.007624
